gene_symbol,ensembl_id,uniprot_id,gene_description,chromosome,protein_class,evidence,rna_tissue_specificity,rna_tissue_distribution
LHFPL1,ENSG00000182508,Q86WI0,LHFPL tetraspan subfamily member 1,X,Predicted membrane proteins,Evidence at protein level,Tissue enhanced,Detected in some
FES,ENSG00000182511,P07332,"FES proto-oncogene, tyrosine kinase",15,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
GLRX5,ENSG00000182512,Q86SX6,Glutaredoxin 5,14,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
FAM104B,ENSG00000182518,Q5XKR9,Family with sequence similarity 104 member B,X,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
TBPL2,ENSG00000182521,Q6SJ96,TATA-box binding protein like 2,14,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in some
CAV3,ENSG00000182533,P56539,Caveolin 3,3,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,Group enriched,Detected in some
MXRA7,ENSG00000182534,P84157,Matrix remodeling associated 7,17,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
LIMK2,ENSG00000182541,P53671,LIM domain kinase 2,22,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
MFSD5,ENSG00000182544,Q6N075,Major facilitator superfamily domain containing 5,12,"Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
RNASE10,ENSG00000182545,Q5GAN6,Ribonuclease A family member 10 (inactive),14,Predicted secreted proteins,Evidence at protein level,Not detected,Not detected
ADI1,ENSG00000182551,Q9BV57,Acireductone dioxygenase 1,2,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
RWDD4,ENSG00000182552,Q6NW29,RWD domain containing 4,4,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
SPNS3,ENSG00000182557,Q6ZMD2,Sphingolipid transporter 3 (putative),17,"Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enriched,Detected in some
CLEC4G,ENSG00000182566,Q6UXB4,C-type lectin domain family 4 member G,19,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
SATB1,ENSG00000182568,Q01826,SATB homeobox 1,3,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Group enriched,Detected in all
NXPH3,ENSG00000182575,O95157,Neurexophilin 3,17,Predicted secreted proteins,Evidence at protein level,Tissue enhanced,Detected in many
CSF1R,ENSG00000182578,P07333,Colony stimulating factor 1 receptor,5,"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
EPHB3,ENSG00000182580,P54753,EPH receptor B3,3,"Cancer-related genes, Enzymes, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
VCX,ENSG00000182583,Q9H320,Variable charge X-linked,X,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in single
EPGN,ENSG00000182585,Q6UW88,Epithelial mitogen,4,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,Tissue enriched,Detected in many
KRTAP11-1,ENSG00000182591,Q8IUC1,Keratin associated protein 11-1,21,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in some
SNORC,ENSG00000182600,Q6UX34,Secondary ossification center associated regulator of chondrocyte maturation,2,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Group enriched,Detected in many
HS3ST4,ENSG00000182601,Q9Y661,Heparan sulfate-glucosamine 3-sulfotransferase 4,16,"Enzymes, Metabolic proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in some
TRAK1,ENSG00000182606,Q9UPV9,Trafficking kinesin protein 1,3,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
TSPAN10,ENSG00000182612,,Tetraspanin 10,17,Predicted membrane proteins,Evidence at transcript level,Tissue enhanced,Detected in single
OR2V2,ENSG00000182613,Q96R30,Olfactory receptor family 2 subfamily V member 2,5,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
PLCB1,ENSG00000182621,Q9NQ66,Phospholipase C beta 1,20,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
SKA2,ENSG00000182628,Q8WVK7,Spindle and kinetochore associated complex subunit 2,17,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
RXFP3,ENSG00000182631,Q9NSD7,Relaxin family peptide receptor 3,5,"G-protein coupled receptors, Predicted membrane proteins, Transporters",Evidence at protein level,Not detected,Not detected
OR10G7,ENSG00000182634,Q8NGN6,Olfactory receptor family 10 subfamily G member 7,11,"G-protein coupled receptors, Predicted membrane proteins",No human protein/transcript evidence,Not detected,Not detected
NDN,ENSG00000182636,Q99608,"Necdin, MAGE family member",15,"Human disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
CCDC172,ENSG00000182645,P0C7W6,Coiled-coil domain containing 172,10,Predicted intracellular proteins,Evidence at protein level,Group enriched,Detected in some
OR4Q3,ENSG00000182652,,Olfactory receptor family 4 subfamily Q member 3,14,Predicted membrane proteins,No human protein/transcript evidence,Not detected,Not detected
NTM,ENSG00000182667,Q9P121,Neurotrimin,11,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
TTC3,ENSG00000182670,P53804,Tetratricopeptide repeat domain 3,21,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
KCNB2,ENSG00000182674,Q92953,Potassium voltage-gated channel subfamily B member 2,8,"FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels",Evidence at protein level,Tissue enhanced,Detected in some
PPP1R27,ENSG00000182676,Q86WC6,Protein phosphatase 1 regulatory subunit 27,17,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in some
BRICD5,ENSG00000182685,Q6PL45,BRICHOS domain containing 5,16,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in all
GALR2,ENSG00000182687,O43603,Galanin receptor 2,17,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in some
RESP18,ENSG00000182698,Q5W5W9,Regulated endocrine specific protein 18,2,Predicted intracellular proteins,Evidence at transcript level,Tissue enriched,Detected in some
IGIP,ENSG00000182700,A6NJ69,IgA inducing protein,5,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at transcript level,Tissue enhanced,Detected in many
TSKU,ENSG00000182704,Q8WUA8,"Tsukushi, small leucine rich proteoglycan",11,Predicted secreted proteins,Evidence at protein level,Tissue enhanced,Detected in all
CMC4,ENSG00000182712,P56277,C-X9-C motif containing 4,X,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ANXA2,ENSG00000182718,P07355,Annexin A2,15,"Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
RGS6,ENSG00000182732,P49758,Regulator of G protein signaling 6,14,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
HOXB4,ENSG00000182742,P17483,Homeobox B4,17,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in many
SLC35D3,ENSG00000182747,Q5M8T2,Solute carrier family 35 member D3,6,"Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enriched,Detected in single
PAQR7,ENSG00000182749,Q86WK9,Progestin and adipoQ receptor family member 7,1,Predicted membrane proteins,Evidence at protein level,Tissue enhanced,Detected in all
PAPPA,ENSG00000182752,Q13219,Pappalysin 1,9,"Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,Tissue enriched,Detected in many
MAFA,ENSG00000182759,Q8NHW3,MAF bZIP transcription factor A,8,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enriched,Detected in some
NGRN,ENSG00000182768,Q9NPE2,"Neugrin, neurite outgrowth associated",15,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in all
GRID1,ENSG00000182771,Q9ULK0,Glutamate ionotropic receptor delta type subunit 1,10,"Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in some
RPS17,ENSG00000182774,P08708,Ribosomal protein S17,15,"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins",Evidence at protein level,Low tissue specificity,Detected in all
HCAR2,ENSG00000182782,Q8TDS4,Hydroxycarboxylic acid receptor 2,12,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
OR2T29,ENSG00000182783,Q8NH02,Olfactory receptor family 2 subfamily T member 29,1,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
CCDC87,ENSG00000182791,Q9NVE4,Coiled-coil domain containing 87,11,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in some
GSTA5,ENSG00000182793,Q7RTV2,Glutathione S-transferase alpha 5,6,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Not detected,Not detected
C1orf116,ENSG00000182795,Q9BW04,Chromosome 1 open reading frame 116,1,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
MAGEB17,ENSG00000182798,A8MXT2,MAGE family member B17,X,Predicted intracellular proteins,Evidence at protein level,Group enriched,Detected in some
CRIP2,ENSG00000182809,P52943,Cysteine rich protein 2,14,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in all
DDX28,ENSG00000182810,Q9NUL7,DEAD-box helicase 28,16,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
KRTAP13-2,ENSG00000182816,Q52LG2,Keratin associated protein 13-2,21,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enriched,Detected in some
ACBD3,ENSG00000182827,Q9H3P7,Acyl-CoA binding domain containing 3,1,"Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
HAPSTR1,ENSG00000182831,Q14CZ0,HUWE1 associated protein modifying stress responses,16,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in all
PLCXD3,ENSG00000182836,Q63HM9,Phosphatidylinositol specific phospholipase C X domain containing 3,5,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
VMO1,ENSG00000182853,Q7Z5L0,Vitelline membrane outer layer 1 homolog,17,Predicted secreted proteins,Evidence at protein level,Tissue enhanced,Detected in many
OR4F15,ENSG00000182854,Q8NGB8,Olfactory receptor family 4 subfamily F member 15,15,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,Not detected,Not detected
ALG12,ENSG00000182858,Q9BV10,"ALG12 alpha-1,6-mannosyltransferase",22,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
LCK,ENSG00000182866,P06239,"LCK proto-oncogene, Src family tyrosine kinase",1,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enriched,Detected in many
GALNT9,ENSG00000182870,Q9HCQ5,Polypeptide N-acetylgalactosaminyltransferase 9,12,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in some
COL18A1,ENSG00000182871,P39060,Collagen type XVIII alpha 1 chain,21,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in all
RBM10,ENSG00000182872,P98175,RNA binding motif protein 10,X,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ADGRG3,ENSG00000182885,Q86Y34,Adhesion G protein-coupled receptor G3,16,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins",Evidence at protein level,Group enriched,Detected in many
